rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
3,United Kingdom,Boeing 777-300,Boeing 777-300,Couple Leisure,Couple Leisure,Economy Class,Tokyo Haneda to London,Tokyo Haneda to London,01-08-2017,3,3,1,2,2,3
1,United Kingdom,Boeing 767,Boeing 767,Couple Leisure,Couple Leisure,Economy Class,Rome to London,Rome to London,01-08-2017,1,1,1,1,1,1
7,United Kingdom,A320-233,A320-233,Family Leisure,Family Leisure,Economy Class,Amsterdam to Gatwick,Amsterdam to Gatwick,01-08-2017,3,4,-1,4,4,-1
3,United Kingdom,Unknown,,Business,Business,Economy Class,Zurich to London Heathrow,Zurich to London Heathrow,01-08-2017,2,2,2,2,2,-1
3,United States,Boeing 747-400,Boeing 747-400,Business,Business,First Class,New York to Cape Town via London,New York to Cape Town via London,01-08-2017,2,4,2,3,2,2
2,United States,Boeing 747,Boeing 747,Business,Business,Business Class,London to Philadelphia,London to Philadelphia,01-08-2017,3,1,1,2,1,1
10,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,Florence to Bristol,Florence to Bristol,01-08-2017,5,5,5,5,5,-1
2,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Salzburg to Gatwick,Salzburg to Gatwick,01-08-2017,2,1,1,5,2,1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Nice to Heathrow,Nice to Heathrow,01-08-2017,2,1,1,1,2,-1
2,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Athens to Newcastle via London,Athens to Newcastle via London,01-08-2017,2,5,1,5,2,-1
5,United Kingdom,A319,A319,Family Leisure,Family Leisure,Business Class,London to Paris Orly,London to Paris Orly,01-08-2017,3,3,2,3,3,-1
2,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Toulouse to London Heathrow,Toulouse to London Heathrow,01-08-2017,3,2,1,2,2,1
2,United Kingdom,Embraer 170,Embraer 170,Business,Business,Business Class,London City to Dusseldorf,London City to Dusseldorf,01-08-2017,4,2,1,1,2,-1
1,Denmark,A380,A380,Family Leisure,Family Leisure,Business Class,Vancouver to London Heathrow,Vancouver to London Heathrow,01-07-2017,1,4,1,2,1,2
9,South Africa,Boeing 747-400 / A380,Boeing 747-400 / A380,Solo Leisure,Solo Leisure,Premium Economy,Johannesburg to London,Johannesburg to London,01-08-2017,5,5,5,4,4,5
3,United States,Boeing 747-400,Boeing 747-400,Solo Leisure,Solo Leisure,Business Class,Oslo to Philadelphia via London,Oslo to Philadelphia via London,01-08-2017,2,2,1,3,2,3
3,United Kingdom,Unknown,,Business,Business,Economy Class,London to Warsaw,London to Warsaw,01-08-2017,2,3,1,3,1,1
3,Canada,A320,A320,Family Leisure,Family Leisure,Business Class,Athens to London,Athens to London,01-08-2017,1,2,1,3,1,1
2,Egypt,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Cairo to Montreal via London,Cairo to Montreal via London,01-08-2017,3,4,4,1,1,3
3,United Arab Emirates,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Chicago,London to Chicago,01-08-2017,1,5,-1,1,1,-1
1,United Kingdom,Boeing 767,Boeing 767,Business,Business,Economy Class,Nice to London Heathrow,Nice to London Heathrow,01-08-2017,1,1,1,1,1,-1
2,United Kingdom,Unknown,,Business,Business,Premium Economy,London to Doha,London to Doha,01-08-2017,-1,-1,-1,2,1,-1
